Company,Product,TypeName,Inches,ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Weight,price_category
11,GP62M 7REX,1,0.4087716575222072,Full HD 1920x1080,102,1.4987674542268743,256GB SSD +  1TB HDD,76,5,0.24242582200725737,1
10,Thinkpad T470,3,-0.713439498130007,IPS Panel Full HD 1920x1080,97,-0.07519506268436271,256GB SSD,53,5,-0.6895978041612234,2
2,VivoBook S15,4,0.4087716575222072,Full HD 1920x1080,106,1.4987674542268743,256GB SSD +  1TB HDD,98,5,-0.809858917215221,1
4,XPS 13,4,-1.2044068787278503,Quad HD+ / Touchscreen 3200x1800,98,-0.07519506268436271,256GB SSD,58,5,-1.2157401737724627,2
10,ThinkPad Yoga,0,-1.2044068787278503,IPS Panel Full HD / Touchscreen 1920x1080,74,-0.07519506268436271,256GB SSD,53,5,-1.0052832259279667,2
7,Probook 440,3,-0.713439498130007,IPS Panel 1366x768,83,-0.8621763211399812,500GB HDD,61,5,-0.6144346085024752,1
4,XPS 13,4,-1.2044068787278503,IPS Panel Full HD 1920x1080,83,-0.07519506268436271,256GB SSD,61,5,-1.245805452035962,2
7,Spectre x360,0,-1.2044068787278503,IPS Panel Full HD / Touchscreen 1920x1080,83,-0.07519506268436271,256GB SSD,61,5,-1.1706422563772134,2
7,Probook 440,3,-0.713439498130007,Full HD 1920x1080,106,-0.07519506268436271,512GB SSD,61,5,-0.6144346085024752,1
4,Inspiron 7570,3,0.4087716575222072,IPS Panel Full HD 1920x1080,106,-0.07519506268436271,256GB SSD +  1TB HDD,72,5,0.1822952654802586,1
2,X705UV-BX074T (i3-6006U/4GB/1TB/GeForce,3,1.6011210104026858,Full HD 1920x1080,56,-0.8621763211399812,1TB HDD,66,5,-0.058226960627736635,0
2,VivoBook S15,3,0.4087716575222072,Full HD 1920x1080,106,-0.07519506268436271,256GB SSD,72,5,-0.5092061345802273,1
0,Spin 3,3,0.4087716575222072,IPS Panel Full HD / Touchscreen 1920x1080,59,-0.46868569191217196,1TB HDD,53,5,0.09209943068976037,0
11,GS63VR 7RG,1,0.4087716575222072,Full HD 1920x1080,102,1.4987674542268743,256GB SSD +  2TB HDD,80,5,-0.3588797432627303,2
10,IdeaPad 320-15IKBN,3,0.4087716575222072,Full HD 1920x1080,74,-0.07519506268436271,256GB SSD,72,4,0.24242582200725737,1
7,Probook 470,3,1.6011210104026858,Full HD 1920x1080,106,1.4987674542268743,512GB SSD,70,5,0.6934049959597477,1
0,Aspire 3,3,0.4087716575222072,1366x768,14,-0.8621763211399812,256GB SSD,17,5,0.09209943068976037,0
7,250 G6,3,0.4087716575222072,1366x768,36,-0.8621763211399812,500GB HDD,41,4,-0.2686839084722321,0
7,Probook 440,3,-0.713439498130007,Full HD 1920x1080,83,-0.07519506268436271,1TB HDD,61,5,-0.6144346085024752,1
2,E402WA-GA007T (E2-6110/4GB/64GB/W10,3,-0.713439498130007,1366x768,16,-0.8621763211399812,64GB SSD,12,6,-0.5843693302389759,0
4,Inspiron 5770,3,1.6011210104026858,Full HD 1920x1080,106,1.4987674542268743,256GB SSD +  2TB HDD,7,5,1.1443841699122381,2
7,ProBook 470,3,1.6011210104026858,Full HD 1920x1080,83,-0.07519506268436271,256GB SSD,61,5,0.6934049959597477,1
4,Inspiron 5567,3,0.4087716575222072,1366x768,74,-0.07519506268436271,1TB HDD,30,5,0.48294804811525194,1
4,Inspiron 3567,3,0.4087716575222072,Full HD 1920x1080,56,-0.8621763211399812,1TB HDD,24,5,0.24242582200725737,0
